"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"Iraq",0.837834003721076,2.76904086087496,24.0694171306857,29.8794748796591,3.03095539751536,1.50813292729286,5.12402107180977,0.729533297673005,0.255481747687738,0.130144605284834,0.428007884209404,14.2375155653944,48.3732756224969,17.6560533379806,60.2116690756771,NA,29.2468074880447,31.4272342385886,0.0202010751062541,0.00548463895341692
"Chile",0.718278268670458,2.74923382008293,24.2643217744082,25.0118342153533,9.4086813923462,4.69215595646577,15.8905194483151,2.28295272776776,0.308306573603937,0.175235346801769,0.491184023066841,14.3667595964575,48.654664272654,14.7797202181639,50.4026356157904,NA,25.1929468280195,24.7154672444073,0.0627637084882969,0.00791471733774236
"Dominican Republic",0.489989978535414,1.89442439762542,24.9814783536232,77.7961844512532,3.84277296091417,2.02341868694627,6.45069400267548,0.959981495409657,1.35505210750846,0.788243138716347,2.24162213859765,14.8818327921228,47.4435420411409,45.9704726302823,99,NA,80.4772015791593,69.6448831310451,0.0181861236617299,0.00479562400706139
"Argentina",0.621375662741912,2.06100486567694,25.5154460722343,55.7632742242217,4.78278948926931,2.41153982108188,8.09516628369496,1.220350072883,1.69190730680576,0.876032451030198,2.86675981827277,15.0750463933149,50.6045996924703,32.9510256779498,98.9208474932809,NA,60.1774378863359,48.8123389432759,0.0251514743804107,0.0125634551064717
"Turkey",0.705403635201498,2.41648971981977,27.2369439372276,39.1977720164675,1.27459575248833,0.678341112077624,2.10519891749344,0.347160930531532,0.0996637767568315,0.0950681468312218,0.117160356743948,16.4906473990059,51.1779286778369,23.1623198279115,78.9894496695415,NA,39.6136779976663,38.4280101241366,0.00838910819752513,0.0012513543303638
"Panama",0.674499254517618,2.13279757722113,29.3230163937252,54.1473934161421,8.11454177627034,4.08336887354118,13.6857207557377,2.37942841533143,0.859691357334233,0.482199006007927,1.40968133561991,17.3862119343175,58.2712091172881,31.9961870186291,98.999999999995,NA,56.1795526514016,50.0135450476564,0.0507483915938998,0.00963159729090721
"India",0.567627610166751,1.65292628486382,29.665301098747,68.4905574490089,1.1728958251488,0.609843352481074,1.98494755904721,0.347943078105024,0.424456404996087,0.238155169538665,0.718745531614654,17.5290816384107,57.0545004203883,40.4716930380496,98.9999999999995,NA,73.8096004695167,59.1063381682064,0.00575124259436219,0.00209350324045409
"Pakistan",0.649812311730956,2.11588790006667,29.9078723679588,29.9291354554935,0.46546338449624,0.232814539540916,0.785188605404987,0.139210194954717,0.0234474448990298,0.013457716517999,0.0371761531333516,17.7295230720922,59.7944592417739,17.6853982237009,60.3117426603243,NA,29.9291354554192,29.9291354557146,0.00294553167070607,0.000100200716811917
"Russia",0.606543454419814,1.74875648096213,31.7391351239223,31.3241833253961,2.2757991454475,1.13207976968912,3.84759259295929,0.72231896592265,0.471385279703393,0.236410907504077,0.794306431853315,18.7732705184125,63.8045997519245,18.5097446922803,63.122975489063,NA,31.3241833254001,31.3241833253971,0.012631599729791,0.00194759442268187
"Morocco",1.0270782967068,1.83928465683662,37.6913621668373,37.700938631013,0.614219898304705,0.304818413157978,1.04243404404244,0.231507846370806,0.107567640297715,0.0530660883679121,0.185477285391749,22.2083927221952,75.9494296858054,22.0338267943781,75.9731036049196,NA,37.7403391981753,37.6160495995734,0.00425808829767114,0.00252524103165172
"Ethiopia",0.959841722943289,1.55897821187077,39.5015762453775,38.8287969014549,0.144305099140464,0.071284714265655,0.244890206505111,0.057002788762938,0.0300848727119685,0.0145517977575607,0.0516661798760173,23.2768756155826,79.9649537073364,22.9442890781319,78.2459089074759,NA,38.8356186137213,38.3278718179339,0.000888661056972926,0.000434515998740778
"Bangladesh",0.661273072874042,1.39922153051386,42.8518576406887,52.35804389102,0.480967667655914,0.255987759279904,0.813788883602794,0.206103580241653,0.076741753615673,0.0553191488023564,0.12981774296721,25.3264187302725,80.513060789088,30.9388441174205,98.9999999999952,NA,51.9569555535898,53.1713288605853,0.00288384566990113,0.000660549082620909
"Philippines",0.828231136388982,1.66444972718071,43.7770828212644,88.1176827295914,0.544815863839704,0.311964167971485,0.922197012522785,0.238504491936494,0.0336976724632456,0.0336976724632456,0.0574674335165059,25.8626398370166,76.4525277012888,52.0695397947589,98.9999999999997,NA,94.3581003799293,77.2114081245055,0.00396978736535072,0.00156497675260331
