"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"SC",0.65640759412269,2.19630442736919,26.7683663658564,47.9399860579592,7.93193208476233,3.96399308733091,13.3903817278784,2.12324864034009,1.84127707991244,0.939259308866999,3.0862850376278,15.8565206241996,53.5633789858535,6.23588254275579,50.7991104558757,42.6054314194936,0.0466330038918456,0.0207236214713033
"KY",0.62613002037751,2.05640705328401,27.8792712306489,86.6553776100029,3.34196490045892,1.80493507947127,5.63416667853131,0.931715459032028,0.699067416332003,0.492906583716481,1.16227932175063,16.5368813560714,51.6204416230284,7.56267035202885,92.8438982526117,74.0957744113226,0.0191598624160721,0.00384987889668738
"VA",0.697973984981003,2.20873300449573,28.0163286816441,40.4905486109551,4.59499875791657,2.20256345686898,7.81663431072877,1.28734995493537,0.447919372143439,0.14427787861885,0.798962287062385,16.469363971248,58.4478032140504,5.3584421142734,47.0003655347106,42.2463970946165,0.0284341233380185,0.00436997445615199
"IA",0.621160957340419,1.87725631768953,28.6612743607404,34.2163612273266,5.97323890127046,2.95253674066831,10.1428677102409,1.7120063897156,1.47739680052578,0.720712176316589,2.53562607899978,16.8789186512514,57.9842535449054,11.0222302115164,34.2469772607841,34.2783081646234,0.0321387481101846,0.00621222350058794
"FL",0.543081701215957,1.730541180628,28.6791935422716,68.6445120541984,9.55578299311873,4.91546716963971,16.1435974124736,2.740521499076,3.53946168949786,1.92706912867846,5.96605435752826,16.9759033817239,55.7530221339444,14.7284608255245,73.9694317966114,57.3511263239597,0.0474258531054738,0.0212033511724257
"MO",0.666459319077951,1.97538092649129,29.4861666220174,69.2630908852596,3.9638231386159,2.06456293101889,6.74611362695175,1.16877949525436,0.728636069109301,0.458537260771812,1.27199866431814,17.325226936364,56.611473435569,10.6499188104727,72.8997228414165,60.2528039835502,0.0230878472219959,0.00387784589896615
"AL",0.619174717363402,1.7554624763226,32.3503378475637,85.3849738002715,7.08922070729132,3.82631777028026,11.9942941832965,2.29338684956819,1.50076944762838,1.05190955710987,2.5385529963643,19.1206486561085,59.9371768696621,7.31502807348983,92.7009373650196,72.3850255741611,0.0402595455810866,0.0117678610943703
"TX",0.7194147817713,1.9185543205246,32.4590337435901,58.3598614350271,5.97717788511948,3.03465015796441,10.1151441184356,1.94013418664534,1.46159219619403,0.791192430381319,2.47701288447368,19.1804898074491,63.9327133492959,15.4862696249837,61.6031995761237,52.1632179678068,0.037222528261859,0.0216306585062892
"NV",0.758728449787554,1.84323100150981,33.9689496756501,44.9528097496327,6.07705286184404,3.08825123836702,10.1845104316512,2.06431102840246,1.29727654208729,0.714287787865429,2.09846774622455,20.2691238057653,66.8440120012388,17.736079657788,44.0265557310349,46.3278078974062,0.0380500208431002,0.01503170618631
"OR",0.671363518665786,1.70494516863232,35.1653019973034,74.7954011749352,1.62926959354749,0.896273136922755,2.71778875709209,0.572937572921213,0.3239876542668,0.248160452158821,0.509370655174704,21.081019318596,63.9244388031449,4.76933306055651,78.9356499461008,66.972342486475,0.0097682714687995,0.00329560615088139
