"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","ascertainmentRate","docuTransmissionRate"
2020-05-17,425,10,NA,408.857142857143,9.14285714285714,NA,5.42857142857139,0.285714285714285,NA,NA,708.127411106452,1770.87632885537,22.3920479742867,43.0043290043291,1140.60522918514,393.433860942257,2937.6198811998,921.892507558799,48.853923285426,14.3255865273054,37.8942350334087,11.1118433556611,NA,NA,NA,0.754493521760118,24.2433002769783,0.744634052633754,0.204503588457775,0.339240972077686,0.106461599207196,24.2433002769783,0.744634052633754
2020-05-18,440,10,NA,416.142857142857,9.42857142857143,NA,7.28571428571433,0.285714285714286,NA,NA,694.889853255584,1800.92881429454,30.0524854391749,43.0043290043291,1118.20320820675,386.864847271902,2988.47793348148,936.805771009818,48.853923285426,14.3255865273054,50.8580522816801,14.9132634510191,NA,NA,NA,0.740339971611497,24.2433002769783,1.02887053536459,0.207974096823742,0.345114140081631,0.108183806366247,24.2433002769783,1.02887053536459
2020-05-19,448,10,NA,423.857142857143,9.71428571428571,NA,7.71428571428567,0.285714285714285,NA,NA,704.922253168007,1832.74909299485,31.8202787003024,21.5021645021645,1135.28001684975,391.771365810612,3042.32763589737,952.596285252073,48.853923285426,14.3255865273054,53.8497024158969,15.7905142422552,NA,NA,NA,0.726396597026937,24.2433002769783,1.11014510834256,0.211648752740649,0.351332788556396,0.110007319828772,24.2433002769783,1.11014510834256
2020-05-20,457,10,NA,431.571428571429,10,NA,7.71428571428572,0.285714285714286,NA,NA,714.954653080431,1864.56937169515,31.8202787003027,21.5021645021643,1152.35682549276,396.677884349323,3096.17733831327,968.386799494328,48.853923285426,14.3255865273054,53.8497024158964,15.7905142422554,NA,NA,NA,0.714168892354902,24.2433002769783,1.09434560756406,0.215323408657556,0.357551437031162,0.111830833291297,24.2433002769783,1.09434560756406
2020-05-21,467,10,NA,439.857142857143,10,NA,8.28571428571428,0,NA,NA,684.625495955744,1898.74670807696,34.1773363818065,64.5064935064936,1100.73385629274,381.843222059736,3154.01590757479,985.346981458232,48.853923285426,14.3255865273054,57.8385692615184,16.9601819639039,NA,NA,NA,0.703219158411803,24.2433002769783,1.15891465983398,0.219270261309048,0.364230726133687,0.113789421825121,24.2433002769783,1.15891465983398
2020-05-22,472,10,NA,447.714285714286,10,NA,7.85714285714289,0,NA,NA,652.528545569929,1931.15625119764,32.4095431206788,64.5064935064936,1046.1192369585,366.131308978913,3208.86282670209,1001.4299126309,48.853923285426,14.3255865273054,54.8469191273025,16.0829311726676,NA,NA,NA,0.693732637246386,24.2433002769783,1.14765560201264,0.223012966409601,0.370564534765392,0.11564670405547,24.2433002769783,1.14765560201264
2020-05-23,482,10,NA,455.857142857143,10,NA,8.14285714285711,0,NA,NA,621.610124024866,1964.74432315907,33.5880719614302,64.5064935064936,993.499051047075,351.004229758914,3265.7041792522,1018.09767766439,48.853923285426,14.3255865273054,56.8413525501128,16.6677650334918,NA,NA,NA,0.681748819480999,24.2433002769783,1.24789286202721,0.226891769877447,0.377128663710978,0.117571523821469,24.2433002769783,1.24789286202721
2020-05-24,482,10,NA,464,10,NA,8.14285714285717,0,NA,NA,612.193866981968,1998.3323951205,33.5880719614306,43.0043290043288,977.36604462283,346.475431956745,3322.54553180232,1034.76544269788,48.853923285426,14.3255865273054,56.8413525501132,16.6677650334921,NA,NA,NA,0.671497898904991,24.2433002769783,1.3099621174335,0.230770573345293,0.383692792656563,0.119496343587468,24.2433002769783,1.3099621174335
2020-05-25,497,10,NA,472.142857142857,10,NA,8.14285714285717,0,NA,NA,602.777609939069,2031.92046708193,33.5880719614306,43.0043290043291,961.233038198584,341.946634154576,3379.38688435243,1051.43320773138,48.853923285426,14.3255865273054,56.8413525501132,16.6677650334918,NA,NA,NA,0.662325261182517,24.2433002769783,1.33011086553355,0.234649376813139,0.390256921602149,0.121421163353467,24.2433002769783,1.33011086553355
2020-05-26,504,10,NA,480.142857142857,10,NA,8,0,NA,NA,592.772088475795,2064.91927462298,32.9988075410545,43.0043290043288,944.102815062933,337.125419421996,3435.23102019114,1067.80855583446,48.853923285426,14.3255865273054,55.8441358387076,16.3753481030797,NA,NA,NA,0.653651514635144,24.2433002769783,1.32718930963754,0.238460131097338,0.396705890390794,0.123312214351641,24.2433002769783,1.32718930963754
